iter	Logloss
0	0.6781974295
1	0.6620703094
2	0.6478273829
3	0.6364205896
4	0.624792643
5	0.6131793798
6	0.5984807495
7	0.58569551
8	0.5771554472
9	0.5652403961
10	0.5587953221
11	0.5503607075
12	0.5400554185
13	0.5315500307
14	0.5242952081
15	0.5160585364
16	0.5094148231
17	0.5012182603
18	0.4929189086
19	0.4861753526
20	0.4796110918
21	0.472920255
22	0.4681273675
23	0.463765076
24	0.4587389238
25	0.4516284889
26	0.4456023532
27	0.4399057376
28	0.4360526053
29	0.4304987128
30	0.424909202
31	0.4208174208
32	0.4153898324
33	0.411979436
34	0.4057793073
35	0.4004906563
36	0.3968676724
37	0.3924864907
38	0.3867509181
39	0.3819180428
40	0.3791751733
41	0.3735111491
42	0.3683955126
43	0.364403176
44	0.3604871285
45	0.357100816
46	0.3531719925
47	0.3489691174
48	0.3452107596
49	0.3430083483
50	0.3399422022
51	0.3358889944
52	0.3323945791
53	0.3298543911
54	0.3268121038
55	0.3213026965
56	0.318114318
57	0.3155215542
58	0.3117565136
59	0.3069911315
60	0.3035072758
61	0.3014733912
62	0.2999659613
63	0.2963896226
64	0.2927472155
65	0.2900886728
66	0.2868781166
67	0.2850720211
68	0.2818582733
69	0.2792566469
70	0.276490279
71	0.2731494585
72	0.272001788
73	0.269825157
74	0.2668915319
75	0.2632299698
76	0.2602510816
77	0.2583645824
78	0.2563141496
79	0.2540902532
80	0.2524629117
81	0.2500614816
82	0.2481770147
83	0.2462335436
84	0.2454392191
85	0.2438778279
86	0.2415246134
87	0.2386388964
88	0.2359395691
89	0.2341727413
90	0.2304416884
91	0.2279990385
92	0.2266399952
93	0.2242568814
94	0.223279857
95	0.2204930402
96	0.2188120496
97	0.2170768899
98	0.2157461804
99	0.2136496442
100	0.2119083296
101	0.210171545
102	0.2090000792
103	0.20756178
104	0.2058209927
105	0.204059381
106	0.2030210719
107	0.201993119
108	0.2006939983
109	0.1990815478
110	0.1964644949
111	0.1948533342
112	0.1933136623
113	0.1911014842
114	0.1891644843
115	0.1880026279
116	0.1863927092
117	0.1854465938
118	0.1831689793
119	0.1814468732
