iter	Logloss
0	0.6764595642
1	0.6577707371
2	0.6429046994
3	0.6297105429
4	0.6194776512
5	0.6086308257
6	0.5940327548
7	0.5855998859
8	0.5770365096
9	0.567958627
10	0.5601731705
11	0.5487502123
12	0.5382619187
13	0.5312640329
14	0.5228223855
15	0.5145461123
16	0.5098716817
17	0.5025691438
18	0.4921582068
19	0.4858828167
20	0.479363117
21	0.4728820839
22	0.4678051055
23	0.4588778918
24	0.4515049406
25	0.4470285873
26	0.4400306886
27	0.4357210932
28	0.4316492175
29	0.4251798544
30	0.418813355
31	0.4142824663
32	0.4098745346
33	0.4068220945
34	0.4032623427
35	0.3999526419
36	0.3951416506
37	0.3904940654
38	0.3858814551
39	0.3794567876
40	0.3767817256
41	0.3718058524
42	0.3670730052
43	0.3631150107
44	0.3589174022
45	0.3542051783
46	0.3509533521
47	0.3475306019
48	0.3446186055
49	0.3420221167
50	0.338489128
51	0.3345732754
52	0.3322246098
53	0.3294795074
54	0.3236401929
55	0.3219003631
56	0.3193721794
57	0.315345093
58	0.3129878511
59	0.3100668276
60	0.3062913473
61	0.30339809
62	0.3019781794
63	0.2970643303
64	0.2941706323
65	0.292074625
66	0.2900716989
67	0.2872350334
68	0.2839596649
69	0.2818880789
70	0.2781946094
71	0.2735685576
72	0.2708799173
73	0.2685081819
74	0.2668212374
75	0.2640417253
76	0.261658381
77	0.2599191833
78	0.2576530084
79	0.254635196
80	0.2529572032
81	0.2515036613
82	0.2488173114
83	0.2469920536
84	0.2449624456
85	0.2417779022
86	0.2397177138
87	0.2373953311
88	0.2346907428
89	0.2337168085
90	0.2312248186
91	0.2292834932
92	0.22735757
93	0.2254127378
94	0.2230435446
95	0.2221411537
96	0.2195504576
97	0.2178066387
98	0.2161941839
99	0.2138886178
100	0.2122827654
101	0.2106886383
102	0.2091325588
103	0.206959707
104	0.2056576444
105	0.2045226096
106	0.202351132
107	0.2009927914
108	0.1988173541
109	0.1977630166
110	0.1962338487
111	0.1949477138
112	0.1930478337
113	0.1919478252
114	0.1905941325
115	0.1890635216
116	0.1868817022
117	0.185084273
118	0.1839036474
119	0.1826010055
120	0.1813334421
121	0.1799627261
122	0.1782655308
